ID,module,file,K,P,title,lines,status,fix_commit,daily_low_blindspot,notes
B036,execution,src/execution/executor.py,K7 生命周期/执行闭环,P1,token 路由用隐式 else，任何非 buy_yes 方向都会拿 no_token_id,L107-L107,PRE_EXISTING_FIX,f6f612e,NO,strict token routing pre-Phase 0
B037,execution,src/execution/executor.py,K7 生命周期/执行闭环,P2,Discord trade alert 的 edge 永远为 0,L376-L383,PRE_EXISTING_FIX,f6f612e,NO,correct edge value in trade alert pre-Phase 0
B038,execution,src/execution/executor.py,K7 生命周期/执行闭环,P0,缺失交易所 order id 时回退到本地 trade_id，制造 synthetic order identity,L363-L370,PRE_EXISTING_FIX,d8dc331,NO,synthetic order_id removed pre-Phase 0 (P0)
B039,execution,src/execution/fill_tracker.py,K7 生命周期/执行闭环,P1,entry fill 后的 lifecycle 更新失败只记 warning，不阻断状态推进,L118-L135,PRE_EXISTING_FIX,96b70a8,NO,fail-closed lifecycle update pre-Phase 0
B040,execution,src/execution/fill_tracker.py,K7 生命周期/执行闭环,P1,canonical entry-fill 事件追加失败只记 warning,L138-L171,PRE_EXISTING_FIX,96b70a8,NO,fail-closed canonical event emission pre-Phase 0
B041,execution,src/execution/fill_tracker.py,K2 失败路径 fail-close,P1,订单状态查询异常会被当成 still_pending,L287-L302,RESOLVED,phase10c-fill_tracker-typed-error-taxonomy,NO,still_pending conflates network error with pending (P1)
B042,execution,src/execution/fill_tracker.py,K7 生命周期/执行闭环,P1,无 order_id 的 pending 单在宽限后会被直接 void，缺少 authoritative 反证,L336-L351,PRE_EXISTING_FIX,96b70a8,NO,quarantine_no_order_id pre-Phase 0
B043,execution,src/execution/harvester.py,K2 失败路径 fail-close,P1,读取 CANONICAL_EXIT_PATH flag 时任何异常都被解释成 False,L53-L59,RESOLVED,phase10c-harvester-canonical-exit-flag-typed-error,NO,"feature flag read exception returns False, silently disables canonical exit"
B044,execution,src/execution/harvester.py,K7 生命周期/执行闭环,P1,读取 position_current.phase 失败时返回 None，削弱 canonical 去重锚点,L155-L173,PRE_EXISTING_FIX,96b70a8,NO,structured result for _current_phase_in_db
B045,execution,src/execution/harvester.py,K2 失败路径 fail-close,P1,分页拉 settled events 时 HTTPError 直接 break，返回部分结果却没有 partial 标志,L383-L414,RESOLVED,phase10c-harvester-pagination-partial-flag,NO,"pagination HTTPError breaks, returns partial events as complete"
B046,execution,src/execution/harvester.py,K6 数学/概率语义,P1,winning bin fallback 用 outcomePrices[0] >= 0.95 推断赢家，容易把价格噪音当结算真值,L417-L430,PRE_EXISTING_FIX,68ff4c1,NO,"winningOutcome used, not price fallback"
B047,main,src/main.py,K2 失败路径 fail-close,P1,多个调度 wrapper 捕获异常后仅记录日志，进程继续运行在部分失效态,"L34-L58, L61-L68",RESOLVED,bug100-k2-b047-scheduler-observability,NO,"K2 fail-observable — new @_scheduler_job decorator in main.py + src/observability/scheduler_health.py (state/scheduler_jobs_health.json per-job health file). 11 scheduler wrappers decorated; _write_heartbeat exempt. Structural antibody enforces AST invariant ""every scheduler.add_job(fn, ...) target has @_scheduler_job decorator"". | K2 fail-close — scheduler wrappers log-and-continue on exception. Independent of DT/P11. | P1: job failure does not pause; harvester/WU/ECMWF/ETL all log-only"
B048,main,src/main.py,K4 时间/模式/参考,P2,automation_analysis 固定调用 .venv/bin/python，绕过更稳妥的解释器解析路径,L300-L319,ABSORBED_DUAL_TRACK,16e7385,NO,_etl_subprocess_python resolves path dynamically
B049,main,src/main.py,K8 控制面 fail-safe,P2,heartbeat 写失败只 warning，不升级为健康故障,L333-L348,RESOLVED,phase10c-main-write_heartbeat-os-exit,NO,resolved.md claims halt but code still only warns — verify in future packet
B050,riskguard,src/riskguard/policy.py,K1 契约收口,P0,duplicate policy 行分支里对 sqlite3.Row 调用了 .get，真实重复时会触发 AttributeError,L226-L239,RESOLVED,057979c,NO,sqlite3.Row.get() AttributeError fixed via dict coercion at duplicate-policy branch
B051,riskguard,src/riskguard/policy.py,K2 失败路径 fail-close,P1,坏 policy 值会让整次策略解析直接异常，而不是隔离坏行,L242-L260,RESOLVED,phase10c-riskguard-policy-bad-row-isolation,NO,single bad policy row kills entire parse
B052,riskguard,src/riskguard/riskguard.py,K3 单一真相/authority,P0,loader row 会把缺字段补成 unknown/F/live/0.0，生成“看起来合法”的 Position,L64-L98,PRE_EXISTING_FIX,,NO,strict required field validation at HEAD:L64-69 (P0 pre-fixed)
B053,riskguard,src/riskguard/riskguard.py,K3 单一真相/authority,P1,RiskGuard 组合了 canonical 仓位与 working-state bankroll 元数据,L101-L120,FORWARDED_P11_PRECURSOR,,NO,Absorbed by P11 Execution-State Truth Upgrade scope (degraded authority) — see docs/operations/task_2026-04-19_execution_state_truth_upgrade/ | mixes canonical positions with working-state capital metadata
B054,riskguard,src/riskguard/riskguard.py,K8 控制面 fail-safe,P0,trailing loss 参考缺失/不一致时直接返回 RED 且 loss=0.0,L220-L241,PRE_EXISTING_FIX,f6a49e4,NO,trailing loss RED/loss=0 refactored (P0)
B055,riskguard,src/riskguard/riskguard.py,K4 时间/模式/参考,P1,reference 窗口只看 lookback 附近 2 小时，调度漂移就会退化,L173-L178,FORWARDED_ARCHITECT_BACKLOG,PENDING_DT6,NO,DT#6 code wired in Phase 6 (tick_with_portfolio path); architect packet deferred. See team_lead_handoff.md §Phase 6 closure. | Blocked on DT#6 architect packet. 2h tolerance unchanged; consolidated into Phase 6 DT#6 graceful degradation. Do NOT attempt independent fix.
B056,signal,src/signal/day0_signal.py,K6 数学/概率语义,P0,ens_remaining 为空时 p_vector 会发生除零/无效概率,L121-L167,PRE_EXISTING_FIX,,NO,VERIFIER DISPUTE: ens_remaining ValueError already at 943e74d
B057,signal,src/signal/day0_signal.py,K6 数学/概率语义,P1,expected_high 没有复用 day0_blended_highs/backbone 逻辑,L170-L173,PRE_EXISTING_FIX,,NO,legacy_upper_envelope_mean rename pre-dates Phase 0
B058,signal,src/signal/day0_signal.py,K6 数学/概率语义,P2,obs_dominates 用 <，observation_weight 用 <=，阈值边界语义不一致,L188-L214,PRE_EXISTING_FIX,,NO,obs_dominates consistent comparison pre-dates Phase 0
B059,signal,src/signal/ensemble_signal.py,K2 失败路径 fail-close,P1,Bias correction 开关读取失败会被 bare except 吞掉,L256-L269,RESOLVED,phase10c-ensemble-signal-bias-correction-bare-except,NO,bare except: pass in ensemble_signal bias correction config load
B060,signal,src/signal/ensemble_signal.py,K6 数学/概率语义,P1,discount_factor=0.0 会被 truthiness 逻辑改写成 0.7,L318-L320,PRE_EXISTING_FIX,,NO,`is not None` check pre-dates Phase 0
B061,signal,src/signal/ensemble_signal.py,K2 失败路径 fail-close,P2,bias correction 查询在异常路径上可能泄露 DB 连接,"L303-L316, L329-L335",RESOLVED,phase10c-ensemble-signal-db-conn-leak-finally,NO,DB connection leak on exception; no finally block
B062,signal,src/signal/ensemble_signal.py,K2 失败路径 fail-close,P1,is_bimodal 捕获所有异常后回退 gap heuristic，数据/代码错误会被伪装成”只是另一种判别法”,L386-L409,RESOLVED,phase10c-ensemble-signal-is_bimodal-exception-scope,NO,is_bimodal catches all exceptions; KDE/code errors conflated
B063,state,src/state/chain_reconciliation.py,K7 生命周期/执行闭环,P1,rescue event 仍然只是日志，没有 durable 审计记录,L241-L251,RESOLVED,94cc1f9,YES,log_rescue_event writes rescue_events_v2 audit row with temperature_metric + causality_status columns
B064,state,src/state/chain_reconciliation.py,K3 单一真相/authority,P1,pending rescue 在缺 entered_at 时用当前时间伪造 fill 时间,L356-L380,FORWARDED_P11_PRECURSOR,,NO,Absorbed by P11 §3 (pending_tracked entry semantics before confirmed fill) — see docs/operations/task_2026-04-19_execution_state_truth_upgrade/ | entered_at fabrication with now() still present
B065,state,src/state/chain_reconciliation.py,K7 生命周期/执行闭环,P0,size mismatch 缺 canonical baseline 时仅打 unresolved 标签后继续运行,L440-L456,ABSORBED_DUAL_TRACK,16e7385,NO,DT#4 ChainState enum replaces skip_voiding guard
B066,state,src/state/chain_reconciliation.py,K3 单一真相/authority,P1,chain-only quarantine 会伪造 trade_id / market_id / p_posterior 等核心身份字段,L470-L496,FORWARDED_P11_PRECURSOR,,YES,Absorbed by P11 §3 (CHAIN_UNKNOWN full integration) — see docs/operations/task_2026-04-19_execution_state_truth_upgrade/ | quarantine Position still synthesizes trade_id/market_id; DAILY_LOW: may conflate high/low semantics
B067,state,src/state/db.py,K3 单一真相/authority,P1,entry/exit 证据写入都把 env 硬编码成 live,"L2571-L2578, L2732-L2745",FORWARDED_P11_PRECURSOR,,NO,Absorbed by P11 P0 (polymarket_client.py env hardening is P11 P0 allowed-edit file) — see docs/operations/task_2026-04-19_execution_state_truth_upgrade/ | log_trade_entry/exit still hardcode env=live; DT#1 commit_then_export choke point not wired
B068,state,src/state/db.py,K6 数学/概率语义,P1,log_trade_exit 把 p_raw 也写成 p_posterior，塌缩了原始/后验语义,L2739-L2744,ABSORBED_DUAL_TRACK,16e7385,NO,Phase 2 preserved p_raw/p_posterior distinction in v2 schema
B069,state,src/state/db.py,K3 单一真相/authority,P0,portfolio loader view 会把缺字段补成 unknown/F/0.0/env=get_mode(),L3560-L3583,RESOLVED,977d9ae,YES,Phase 5A truth-authority spine: PortfolioState.authority field + MetricIdentity view layer + fail-closed on missing columns
B070,state,src/state/db.py,K5 写路径与不可逆,P1,control_overrides 的 upsert 会重写 issued_by/issued_at/reason，抹掉原始发布历史,L3592-L3640,RESOLVED,ebb4f41,NO,control_overrides_history append-only + view projects latest recorded_at; append-only triggers reject UPDATE/DELETE
B071,state,src/state/db.py,K5 写路径与不可逆,P1,token_suppression 的 upsert 会把多次 suppression 事实压成一条可变记录,L3308-L3388,RESOLVED,phase10a,NO,token_suppression_history append-only + view projection (mirror of B070 pattern); Phase 10A S3 this commit
B072,state,src/state/db.py,K8 控制面 fail-safe,P0,auto pause 来源识别前缀不一致，自动暂停会被误判成 manual_command,"L109-L109 (control_plane), L3831-L3840",PRE_EXISTING_FIX,f6f612e,NO,DT#6-law retroactively satisfied by K8 pre-Phase 0 commit
B073,state,src/state/portfolio.py,K3 单一真相/authority,P1,canonical projection 非 authoritative 时会返回“无活跃仓位”的降级组合,L974-L993,RESOLVED,977d9ae,YES,Phase 5A PortfolioState.authority field with 3 exit paths (canonical_db/degraded/unverified); callers gate on state.authority
B074,state,src/state/portfolio.py,K3 单一真相/authority,P2,JSON fallback 会为缺 env 的仓位注入 current_mode,L741-L744,RESOLVED,phase10c-portfolio-json-fallback-env-marker,NO,JSON fallback injects current_mode; no unknown_env marker
B075,state,src/state/portfolio.py,K7 生命周期/执行闭环,P1,同 order_id 去重会把新 Position 的所有字段覆盖到旧 Position,L1064-L1075,ABSORBED_DUAL_TRACK,16e7385,NO,Position merge refactored in Phase 2 (may be pre-existing — verify)
B076,state,src/state/portfolio.py,K7 生命周期/执行闭环,P1,token+direction 去重合并会累加 size/cost，但明确丢弃新 entry context,L1077-L1091,ABSORBED_DUAL_TRACK,16e7385,NO,Fill ledger pattern in v2 schema (may be pre-existing — verify)
B077,state,src/state/truth_files.py,K4 时间/模式/参考,P0,read_mode_truth_json 接受 mode 参数却完全不使用,L101-L102,RESOLVED,977d9ae,NO,Phase 5A ModeMismatchError thread + strict mode validation; paper mode retired antibody msg landed
B078,state,src/state/truth_files.py,K4 时间/模式/参考,P1,truth metadata 仍然是 live-only 视角：infer_mode / replacement_paths / backfill 默认都只覆盖 live,"L46-L50, L123-L125, L174-L179",RESOLVED,c327872,YES,Phase 5B LEGACY_STATE_FILES + _LOW_LANE_FILES frozenset; build_truth_metadata accepts temperature_metric+data_version kwargs; fail-closed on low-lane without metric
B079,state,src/state/truth_files.py,K2 失败路径 fail-close,P2,generated_at 解析失败会把 stale_age_seconds 置 None，坏时间戳被吞成“无法判断”,L80-L98,RESOLVED,cf9c148+b4d140f,NO,Narrow except (ValueError/TypeError/AttributeError/OverflowError) with structured TRUTH_GENERATED_AT_UNPARSEABLE warning; critic amendment at b4d140f
B080,strategy,src/strategy/market_analysis.py,K6 数学/概率语义,P0,多 bin 市场上的 buy_no 仍按单 bin 互补概率处理,L131-L174,PRE_EXISTING_FIX,e7914b3,NO,buy_no restricted to binary markets (P0)
B081,strategy,src/strategy/market_analysis.py,K1 契约收口,P2,_settle 与 EnsembleSignal 再次复制一套结算舍入逻辑,L178-L186,RESOLVED,1d75bcf,NO,K1 _settle/EnsembleSignal duplicate rounding resolved via shared settlement-rounding helper. | K1 _settle/EnsembleSignal duplicate settlement rounding logic. Independent of DT/P11. | duplicate _settle between MarketAnalysis and EnsembleSignal; K1 authority
B082,strategy,src/strategy/market_analysis.py,K1 契约收口,P2,has_platt 要求 bootstrap_params > 1，单一已拟合参数集会被当成未校准,L208-L213,RESOLVED,1c85d64,NO,K1 has_platt accepts single-fit Platt calibrator (bootstrap_params>=1). | K1 has_platt requires bootstrap_params>1 — single fitted param set treated as uncalibrated. Independent of DT/P11. | has_platt requires bootstrap_params>1; single fitted param rejected
B083,strategy,src/strategy/market_analysis.py,K6 数学/概率语义,P1,宽度归一化在 shoulder/open bin 上悄悄回退 raw probability,L236-L239,PRE_EXISTING_FIX,6e2adb5,NO,ValueError on WND open-bin fallback
B084,strategy,src/strategy/market_fusion.py,K6 数学/概率语义,P1,零深度 orderbook 时 VWMP 回退成 mid-price,L59-L75,PRE_EXISTING_FIX,6e2adb5,NO,ValueError on zero depth VWMP
B085,strategy,src/strategy/market_fusion.py,K6 数学/概率语义,P1,market_total <= 0 时调用 VigTreatment.from_raw 却忽略其返回值,L180-L187,PRE_EXISTING_FIX,6e2adb5,NO,early exit on market_total<=0
B086,strategy,src/strategy/market_fusion.py,K6 数学/概率语义,P1,稀疏 monitor p_market 的零位被 p_cal 回填，缺市场语义被隐藏,L188-L205,PRE_EXISTING_FIX,6e2adb5,NO,no p_cal imputation for sparse monitor
B087,engine,src/engine/evaluator.py,K2 失败路径 fail-close,P1,FEE_RATE_WEATHER 合同读取失败会静默回退到 0.05,L209-L222,ABSORBED_DUAL_TRACK,16e7385-related,NO,FeeRateUnavailableError now raised instead of 0.05 default
B088,engine,src/engine/evaluator.py,K2 失败路径 fail-close,P0,authority gate 读取 UNVERIFIED calibration pairs 失败时会被当成空列表,L826-L837,ABSORBED_DUAL_TRACK,16e7385,NO,Authority gate now 3-path (DT#1 style)
B089,engine,src/engine/evaluator.py,K6 数学/概率语义,P1,构造 p_market 时对未匹配 outcome/bin 直接 continue，部分市场家族没有 completeness 标志,L870-L880,ABSORBED_DUAL_TRACK,16e7385,NO,market_is_complete flag added to EdgeDecision
B090,engine,src/engine/evaluator.py,K7 生命周期/执行闭环,P1,microstructure 日志写入放在报价获取同一 try 中，遥测故障可能污染流动性判定,L877-L892,PRE_EXISTING_FIX,,NO,Microstructure isolated; pre-Phase 0
B091,engine,src/engine/evaluator.py,K4 时间/模式/参考,P1,缺 issue_time/valid_time 时把哨兵字符串写进时间字段,L1271-L1286,RESOLVED,177ae8b+phase10a,NO,Upper half (sentinel→None) at 177ae8b; lower half (decision_time_status enum extension from P9C replay vocab) at Phase 10A S4 this commit
B092,engine,src/engine/replay.py,K3 单一真相/authority,P1,world attach 探测失败后直接假定 monolithic schema,L214-L225,ABSORBED_DUAL_TRACK,16e7385,NO,Phase 2 schema topology 3-state (attach/monolithic/raise)
B093,engine,src/engine/replay.py,K4 时间/模式/参考,P0,forecast fallback 会伪造 decision_time 并把 agreement 固定成 AGREE,L246-L280,RESOLVED,821959e+59e271c,YES,Phase 5C: decision_reference_source/decision_time_status/agreement=UNKNOWN typed fields (half-1); historical_forecasts_v2 query with metric filter + legacy fallback metric-aware (half-2)
B094,engine,src/engine/replay.py,K2 失败路径 fail-close,P1,snapshot 读取对 members_json/p_raw_json 的 json.loads 没有局部保护,L510-L529,RESOLVED,1d75bcf+b4d140f,NO,K2 fail-close resolved via per-row try/except with specific exceptions (JSONDecodeError/TypeError/UnicodeDecodeError/RecursionError) at replay.py L514/L527/L536. | K2 fail-close — members_json/p_raw_json json.loads lacks local protection. Independent of DT/P11. | json.loads has no per-row error handling; single corrupt row kills replay batch
B095,engine,src/engine/replay.py,K6 数学/概率语义,P0,get_market_price 永远返回 0.5,L533-L542,PRE_EXISTING_FIX,,NO,NaN instead of 0.5 — pre-Phase 0
B096,engine,src/engine/cycle_runtime.py,K3 单一真相/authority,P1,materialize_position 用 get_mode() 填 env，而不是使用决策/仓位 authority,"L209-L240, L260-L260",ABSORBED_DUAL_TRACK,b025883,NO,"Phase 1 MetricIdentity: env explicit parameter, no get_mode()"
B097,engine,src/engine/cycle_runtime.py,K3 单一真相/authority,P1,bankroll_at_entry 缺失时退回 portfolio.initial_bankroll,L233-L235,RESOLVED,phase10c-cycle_runtime-bankroll_at_entry-nullable,NO,bankroll_at_entry still nullable without validation
B098,engine,src/engine/cycle_runtime.py,K7 生命周期/执行闭环,P2,shadow signal/telemetry 写入失败只 warning，决策审计链可被静默切断,L900-L931,PRE_EXISTING_FIX,,NO,shadow signal → degraded=True pre-Phase 0
B099,engine,src/engine/cycle_runtime.py,K2 失败路径 fail-close,P0,候选评估最外层 except 会在部分副作用已落地后继续下一个候选,"L1078-L1103, L1191-L1193",FORWARDED_ARCHITECT_BACKLOG,,NO,DT#1 code wired in P10C SAVEPOINT + P10D M3 ordering + P10E test_dt1_savepoint_integration; architect packet deferred. See team_lead_handoff.md §Phase 10 COMPLETE. | Blocked on DT#1 architect packet (atomic _execute_candidate transaction). Do NOT attempt independent fix. Section C of zeus_dt_coordination_handoff.md.
B100,state,src/state/db.py,K5 写路径与不可逆,P1,calibration_decision_group 缺列且空表时会 DROP TABLE 重建,L889-L1008,RESOLVED,db.py:889-1008,NO,SAVEPOINT-wrapped migration + INSERT…SELECT + row-count IntegrityError check + DROP only on legacy rename; proper Phase 2 v2 migration pattern
